ID,Fraction_ID,Envelope_num,Mass,MonoMz,Charge,Intensity,mzLo,mzHi,rtLo,rtHi,color,opacity,promex_score
13,0,84,11284.5,627.922,18,9.98222e+07,627.878,628.857,126.674,180.975,#FF0000,0.1,43.8431
13,0,32,11284.5,594.927,19,1.25066e+07,594.879,595.818,134.816,158.752,#FF0000,0.1,43.8431
14,0,1,23464.7,870.07,27,2.56827e+07,870.193,871.136,145.552,145.552,#FF0000,0.1,-1187.33
15,0,2,22538.6,1503.58,15,4.43823e+06,1503.82,1505.35,131.495,131.836,#FF0000,0.1,33.5046
15,0,2,22538.6,1409.67,16,4.84495e+06,1409.89,1411.34,131.495,132.168,#FF0000,0.1,33.5046
15,0,5,22538.6,1326.81,17,1.8486e+07,1327,1328.38,131.495,164.584,#FF0000,0.1,33.5046
15,0,4,22538.6,1253.15,18,1.73294e+07,1253.33,1254.65,131.495,132.856,#FF0000,0.1,33.5046
15,0,12,22538.6,1187.25,19,2.94897e+07,1187.42,1188.67,131.495,171.112,#FF0000,0.1,33.5046
15,0,6,22538.6,1127.94,20,1.77755e+07,1128.09,1129.29,131.495,141.855,#FF0000,0.1,33.5046
15,0,10,22538.6,1074.28,21,2.50621e+07,1074.41,1075.57,131.495,177.652,#FF0000,0.1,33.5046
15,0,9,22538.6,1025.49,22,2.61554e+07,1025.62,1026.73,131.836,187.59,#FF0000,0.1,33.5046
15,0,27,22538.6,980.948,23,5.33512e+07,981.066,982.138,131.495,178.978,#FF0000,0.1,33.5046
15,0,10,22538.6,940.118,24,5.75764e+07,940.226,941.262,131.495,169.123,#FF0000,0.1,33.5046
15,0,36,22538.6,902.553,25,8.11782e+07,902.654,903.656,131.154,185.607,#FF0000,0.1,33.5046
15,0,11,22538.6,867.878,26,7.27311e+07,867.971,868.942,131.495,176.99,#FF0000,0.1,33.5046
15,0,41,22538.6,835.772,27,8.46539e+07,835.858,836.8,131.495,186.928,#FF0000,0.1,33.5046
15,0,16,22538.6,805.959,28,7.88587e+07,806.038,806.954,131.495,189.558,#FF0000,0.1,33.5046
15,0,34,22538.6,778.202,29,6.32023e+07,778.275,779.166,131.495,188.242,#FF0000,0.1,33.5046
15,0,16,22538.6,752.295,30,4.1304e+07,752.363,753.231,131.495,188.9,#FF0000,0.1,33.5046
16,0,83,660.213,661.22,1,5.94125e+07,661.12,663.325,0.4115,117.739,#FF0000,0.1,-339.251
17,0,1,22609.9,1257.11,18,2.00399e+06,1257.29,1258.6,143.003,143.003,#FF0000,0.1,-481.886
17,0,1,22609.9,1028.73,22,276637,1028.86,1029.97,157.618,157.618,#FF0000,0.1,-481.886
17,0,1,22609.9,943.086,24,133055,943.195,944.231,165.883,165.883,#FF0000,0.1,-481.886
17,0,4,22609.9,870.619,26,2.7192e+07,870.711,871.683,132.502,150.256,#FF0000,0.1,-481.886
17,0,4,22609.9,808.504,28,1.45847e+07,808.583,809.499,132.168,140.816,#FF0000,0.1,-481.886
17,0,5,22609.9,754.67,30,2.7852e+07,754.738,755.606,137.012,156.76,#FF0000,0.1,-481.886
18,0,1,1418.68,1419.69,1,2.04034e+07,1419.59,1422.8,128.305,128.305,#FF0000,0.1,-485.409
19,0,1,1413.43,1414.44,1,2.02216e+07,1414.34,1417.55,134.816,134.816,#FF0000,0.1,-500.834
20,0,1,10355.4,942.411,11,2.01702e+07,942.402,943.786,141.368,141.368,#FF0000,0.1,-370.302
20,0,1,10355.4,797.579,13,232780,797.557,798.759,142.32,142.32,#FF0000,0.1,-370.302
21,0,1,12036.2,803.419,15,822986,803.386,804.589,127.061,127.061,#FF0000,0.1,-353.095
21,0,4,12036.2,753.269,16,2.9617e+07,753.231,754.371,132.502,140.816,#FF0000,0.1,-353.095
22,0,1,1256.5,1257.5,1,1.75909e+07,1257.4,1260.61,133.584,133.584,#FF0000,0.1,-437.119
23,0,1,22601,870.275,26,1.6548e+07,870.368,871.339,145.552,145.552,#FF0000,0.1,-1316.08
23,0,1,22601,838.08,27,314904,838.165,839.108,143.003,143.003,#FF0000,0.1,-1316.08
24,0,2,734.232,735.239,1,1.44255e+07,735.139,737.345,0.4115,0.8705,#FF0000,0.1,-339.581
25,0,1,11295.5,1256.06,9,1.29687e+07,1256.07,1257.83,147.551,147.551,#FF0000,0.1,-731.378
26,0,1,1413.56,1414.57,1,1.2896e+07,1414.47,1417.67,138.253,138.253,#FF0000,0.1,-438.517
27,0,1,11990.2,857.448,14,254350,857.42,858.694,140.816,140.816,#FF0000,0.1,-42.3122
